sr,service,name,name_mm,address,address_mm,phone1,phone2,phone3,phone4,phone5,township_mm,Pyinoolwin,state_region_mm,state_region,LatLong,remark,running_status,status,services,curfew,opening_hour,opening_days,updated_phone,new_lat,new_long,url
1,အောက်ဆီဂျင်,Mingalar,မင်္ဂလာ,"Mingalar Theiddi St., Corner of U Chit Maung Rd., Min Lane Bus Stop, Saya San (South) Ward,
Bahan, Yangon
, Myanmar",မင်္ဂလာ သိဒ္ဓိလမ်း၊ ဦးချစ်မောင်လမ်းဒေါင့်၊ မင်းလမ်းမှတ်တိုင်၊ ဆရာစံ(တောင်)ရပ်ကွက်၊ ဗဟန်း၊ ရန်ကုန်,095021569,095117535,095177186,,,ဗဟန်း,Bahan,ရန်ကုန်တိုင်းဒေသကြီး,Yangon,"16.815427,96.156112",,,Need Confirmation,,,,,,16.818913,96.165244,http://www.yangondirectory.com/listing/mingalar-l00205460.html
2,အောက်ဆီဂျင်,Ah Phyu Yaung Piti Lu Hmu Ku Nyi Yae Ah Thin,အဖြူရောင်ပီတိ လူမှုကူညီရေးအသင်း,"Ngar Htat Kyee Pagoda Rd., Ngarr Htatt Gyee (South) Ward,
Bahan, Yangon
, Myanmar",ငါးထပ်ကြီးဘုရားလမ်း၊ ငါးထပ်ကြီး(တောင်)ရပ်ကွက်၊ ဗဟန်း၊ ရန်ကုန်,09799881592,09794690062,0979847267,,,ဗဟန်း,Bahan,ရန်ကုန်တိုင်းဒေသကြီး,Yangon,"16.815427,96.156112",,,Need Confirmation,,,,,,,,http://www.yangondirectory.com/listing/ah-phyu-yaung-piti-lu-hmu-ku-nyi-yae-ah-thin-l00245493.html
3,အောက်ဆီဂျင်,Ahnine Mae Ka Yu Nar Shin,အနှိုင်းမဲ့ကရုဏာရှင်,"Hlaing Yadanar St., Dhama Thukha Dhamar Yone, Ward (13),
Hlaing Thar Yar, Yangon
, Myanmar",လှိုင်ရတနာလမ်း၊ ဓမ္မသုခ ဓမ္မာရုံ၊ ၁၃ ရပ်ကွက်၊ လှိုင်သာယာ၊ ရန်ကုန်,095033115,0943114919,,,,လှိုင်သာယာ,Hlaingtharya ,ရန်ကုန်တိုင်းဒေသကြီး,Yangon,"16.85402,96.06893",,,Need Confirmation,အောက်ဆီဂျင်ဖြည့်လို့ရ,,,,,16.880776,96.031764,http://www.yangondirectory.com/listing/ahnine-mae-ka-yu-nar-shin-l00292997.html
4,အောက်ဆီဂျင်,Arseinnakan Lu Hmu Ku Nyi Yae Parahita Association,အစိဏ္ဏကံလူမှုကူညီရေးပရဟိတအသင်း,"Bayint Naung St., Saik Mway Ward (1),
South Dagon, Yangon
, Myanmar",ဘုရင့်နောင်လမ်း၊ စိုက်မွှေး(၁)ရပ်ကွက်၊ တောင်ဒဂုံ၊ ရန်ကုန်,09250373926,09799585850,09421142755,,,ဒဂုံမြို့သစ်(တောင်ပိုင်း),Dagon Myothit (South) ,ရန်ကုန်တိုင်းဒေသကြီး,Yangon,"16.84016,96.22582",,,Need Confirmation,,,,,,16.878374,96.268388,http://www.yangondirectory.com/listing/arseinnakan-lu-hmu-ku-nyi-yae-parahita-association-l00245497.html
5,အောက်ဆီဂျင်,Aye Saydanar,အေးစေတနာ,"428, Shwe Inwa St., Ward (55),
South Dagon, Yangon
, Myanmar",၄၂၈၊ ရွှေအင်းဝလမ်း၊ ၅၅ ရပ်ကွက်၊ တောင်ဒဂုံ၊ ရန်ကုန်,09777778027,09977778027,012348446,,,ဒဂုံမြို့သစ်(တောင်ပိုင်း),Dagon Myothit (South) ,ရန်ကုန်တိုင်းဒေသကြီး,Yangon,"16.84016,96.22582",,,Need Confirmation,,,,,,,,http://www.yangondirectory.com/listing/aye-saydanar-l00275165.html
6,အောက်ဆီဂျင်,Aye Yeik San,အေးရိပ်စံ,"Rm 2, May Darwi Rd., Corner of Theingi St., Sit Hmu Htan Haung Shop Room, Sa Lone Ward,
North Okkalapa, Yangon
, Myanmar",၂၊ မေဒါဝီလမ်း၊ သိင်္ဂီလမ်းထောင့်၊ စစ်မှူထမ်းဟောင်း ဆိုင်တန်း၊ စ ရပ်ကွက်၊ မြောက်ဥက္ကလာ၊ ရန်ကုန်,095116801,09775117790,09965116801,,,မြောက်ဥက္ကလာပ,North Okkalapa,ရန်ကုန်တိုင်းဒေသကြီး,Yangon,"16.918775,96.163028",,stopped,Stop Service,,,,,,,,http://www.yangondirectory.com/listing/aye-yeik-san-l00208503.html
7,အောက်ဆီဂျင်,Aye Yeik San,အေးရိပ်စံ,"54, Pyi Daw Aye St., Lay Daunt Kan Ward,
Thingangyun, Yangon
, Myanmar",၅၄၊ ပြည်တော်အေးလမ်း၊ လေးထောင့်ကန်ရပ်ကွက်၊ သင်္ဃန်းကျွန်း၊ ရန်ကုန်,0973031343,,,,,သင်္ဃန်းကျွန်း,Thingangyun,ရန်ကုန်တိုင်းဒေသကြီး,Yangon,"16.831011,96.19323",,,Need Confirmation,,,,,,,,http://www.yangondirectory.com/listing/aye-yeik-san-l00245825.html
8,အောက်ဆီဂျင်,Blood Donation Hotline,သွေးလှူအသင်း,"Bldg F/S/34/35, Bayint Naung Rd., Shwe Padauk Yeikmon,
Kamayut, Yangon
, Myanmar",စ/၃၄/၃၅၊ ဘုရင့်နောင်လမ်း၊ ရွှေပိတောက်ရိပ်မွန်၊ ကမာရွတ်၊ ရန်ကုန်,011880 Ext.1,011877 Ext.1,,,,ကမာရွတ်,Kamaryut,ရန်ကုန်တိုင်းဒေသကြီး,Yangon,"16.827684,96.132439",,,Need Confirmation,,,,,,,,http://www.yangondirectory.com/listing/blood-donation-hotline-l00243941.html
9,အောက်ဆီဂျင်,Byamaso Moe,ဗြဟ္မစိုရ်မိုး,"Baya Thuddi St., Pathein Nyunt Ward,
Tarmwe, Yangon
, Myanmar",ပုသိမ်ညွန့်ရပ်ကွက်၊ တာမွေ၊ ရန်ကုန်,09250136334,0973082180,09799991846,,,တာမွေ,Tamwe,ရန်ကုန်တိုင်းဒေသကြီး,Yangon,"16.810182,96.17646",,stopped,Stop Service,,,,,,,,http://www.yangondirectory.com/listing/byamaso-moe-l00245510.html
10,အောက်ဆီဂျင်,Digar Yu,ဒီဃာယု,"Zaw Ta Yone St., Corner of Man Pyay St., Ward (2-South),
Thaketa, Yangon
, Myanmar",ဇောတရုံလမ်း၊ မာန်ပြေလမ်းထောင့်၊ ၂ (တောင်) ရပ်ကွက်၊ သာကေတ၊ ရန်ကုန်,09254922290,,,,,သာကေတ,Thaketa,ရန်ကုန်တိုင်းဒေသကြီး,Yangon,"16.793009,96.202959",,stopped,Stop Service,,,,,,,,http://www.yangondirectory.com/listing/digar-yu-l00224661.html
